municipio;Município
AMPARO DO SÃO FRANCISCO;Amparo do São Francisco
AQUIDABÃ;Aquidabã
ARACAJU;Aracaju
ARAUÁ;Arauá
AREIA BRANCA;Areia Branca
BARRA DOS COQUEIROS;Barra dos Coqueiros
BOQUIM;Boquim
BREJO GRANDE;Brejo Grande
CAMPO DO BRITO;Campo do Brito
CANHOBA;Canhoba
CANINDÉ DE SÃO FRANCISCO;Canindé de São Francisco
CAPELA;Capela
CARIRA;Carira
CARMÓPOLIS;Carmópolis
CEDRO DE SÃO JOÃO;Cedro de São João
CRISTINÁPOLIS;Cristinápolis
CUMBE;Cumbe
DIVINA PASTORA;Divina Pastora
ESTÂNCIA;Estância
FEIRA NOVA;Feira Nova
FREI PAULO;Frei Paulo
GARARU;Gararu
GENERAL MAYNARD;General Maynard
GRACHO CARDOSO;Graccho Cardoso
ILHA DAS FLORES;Ilha das Flores
INDIAROBA;Indiaroba
ITABAIANA;Itabaiana
ITABAIANINHA;Itabaianinha
ITABI;Itabi
ITAPORANGA D'AJUDA;Itaporanga D'Ajuda
JAPARATUBA;Japaratuba
JAPOATÃ;Japoatã
LAGARTO;Lagarto
LARANJEIRAS;Laranjeiras
MACAMBIRA;Macambira
MALHADA DOS BOIS;Malhada dos Bois
MALHADOR;Malhador
MARUIM;Maruim
MOITA BONITA;Moita Bonita
MONTE ALEGRE DE SERGIPE;Monte Alegre de Sergipe
MURIBECA;Muribeca
NEÓPOLIS;Neópolis
NOSSA SENHORA APARECIDA;Nossa Senhora Aparecida
NOSSA SENHORA DA GLÓRIA;Nossa Senhora da Glória
NOSSA SENHORA DAS DORES;Nossa Senhora das Dores
NOSSA SENHORA DE LOURDES;Nossa Senhora de Lourdes
NOSSA SENHORA DO SOCORRO;Nossa Senhora do Socorro
PACATUBA;Pacatuba
PEDRA MOLE;Pedra Mole
PEDRINHAS;Pedrinhas
PINHÃO;Pinhão
PIRAMBU;Pirambu
POÇO REDONDO;Poço Redondo
POÇO VERDE;Poço Verde
PORTO DA FOLHA;Porto da Folha
PROPRIÁ;Propriá
RIACHÃO DO DANTAS;Riachão do Dantas
RIACHUELO;Riachuelo
RIBEIRÓPOLIS;Ribeirópolis
ROSÁRIO DO CATETE;Rosário do Catete
SALGADO;Salgado
SANTA LUZIA DO ITANHY;Santa Luzia do Itanhy
SANTANA DO SÃO FRANCISCO;Santana do São Francisco
SANTA ROSA DE LIMA;Santa Rosa de Lima
SANTO AMARO DAS BROTAS;Santo Amaro das Brotas
SÃO CRISTÓVÃO;São Cristóvão
SÃO DOMINGOS;São Domingos
SÃO FRANCISCO;São Francisco
SÃO MIGUEL DO ALEIXO;São Miguel do Aleixo
SIMÃO DIAS;Simão Dias
SIRIRI;Siriri
TELHA;Telha
TOBIAS BARRETO;Tobias Barreto
TOMAR DO GERU;Tomar do Geru
UMBAÚBA;Umbaúba
